char,unicode,standard_rank,block_reason,resolution_class,next_required_action,approved_radical,approved_strokes,approved_agent_structure,approved_agent_struct_type,source_model_presence,current_index_recoverable,decoded_current_index,decoded_ext,write_status,database_status
𫘜,U+2B61C,6640,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
纻,U+7EBB,6641,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,187,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬘘,U+2C618,6642,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫘝,U+2B61D,6643,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
纼,U+7EBC,6644,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,188,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玤,U+73A4,6645,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1444,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玞,U+739E,6646,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1438,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玱,U+73B1,6647,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1457,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邽,U+90BD,6649,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,701,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邿,U+90BF,6650,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,703,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
坥,U+5765,6651,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,357,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
坰,U+5770,6652,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,368,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
坬,U+576C,6653,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,364,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
坽,U+577D,6654,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,381,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
弆,U+5F06,6655,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,上下,1,present,True,262,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
䢼,U+48BC,6657,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𦭜,U+26B5C,6658,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,上下,1,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
茋,U+830B,6659,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,上下,1,present,True,1291,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
苾,U+82FE,6661,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,上下,1,present,True,1278,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
枅,U+6785,6663,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,389,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
㭎,U+3B4E,6664,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
枍,U+678D,6666,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,397,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
矼,U+77FC,6667,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,508,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
匼,U+533C,6669,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左三包,7,present,True,1340,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬨂,U+2CA02,6670,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬀩,U+2C029,6671,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬀪,U+2C02A,6672,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
旿,U+65FF,6673,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,2047,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
昄,U+6604,6675,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,4,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
昒,U+6612,6676,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,18,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
昈,U+6608,6677,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,8,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
咉,U+5489,6678,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1673,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
咇,U+5487,6679,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1671,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
咍,U+548D,6680,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1677,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
岨,U+5CA8,6683,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1704,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
岞,U+5C9E,6684,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1694,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
峂,U+5CC2,6685,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1730,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
㟃,U+37C3,6686,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬬩,U+2CB29,6688,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
钖,U+9496,6691,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1686,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
牥,U+7265,6692,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1125,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
垈,U+5788,6694,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,上下,1,present,True,392,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
侁,U+4F81,6695,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,385,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
侹,U+4FB9,6696,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,441,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
佸,U+4F78,6697,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,376,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
佺,U+4F7A,6698,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,378,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
㑊,U+344A,6700,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
侂,U+4F82,6701,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,386,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
侘,U+4F98,6703,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,408,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郈,U+90C8,6704,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,712,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
舠,U+8220,6705,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1056,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郐,U+90D0,6706,radical_resolution_blocked,requires_position_sensitive_radical_rule,阝 must be resolved as 阜 or 邑 by side/position evidence; current queue preserves the block until that rule is audited.,阝,8,左右,3,present,True,720,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
郃,U+90C3,6707,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,707,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
攽,U+653D,6708,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1853,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
肸,U+80B8,6710,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,696,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
狝,U+72DD,6713,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1245,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
饳,U+9973,6714,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,883,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
炌,U+708C,6717,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,652,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
沺,U+6CBA,6720,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1722,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
泂,U+6CC2,6721,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1730,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
泜,U+6CDC,6722,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1756,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
泃,U+6CC3,6723,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1731,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
泇,U+6CC7,6724,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1735,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
峃,U+5CC3,6726,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,上中下,2,present,True,1731,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
祋,U+794B,6728,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,843,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
祊,U+794A,6729,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,842,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫍣,U+2B363,6730,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬣳,U+2C8F3,6731,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬩽,U+2CA7D,6732,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
鸤,U+9E24,6733,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,36,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
弢,U+5F22,6734,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,290,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
弨,U+5F28,6735,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,296,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陑,U+9651,6736,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,81,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬮿,U+2CBBF,6737,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
陎,U+964E,6738,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,78,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬯀,U+2CBC0,6739,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
乸,U+4E78,6741,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左下包,8,present,True,120,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
妭,U+59AD,6742,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,941,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
姈,U+59C8,6743,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,968,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫰛,U+2BC1B,6744,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬳵,U+2CCF5,6747,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬳶,U+2CCF6,6749,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
䌹,U+4339,6750,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫠊,U+2B80A,6752,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
㛃,U+36C3,6757,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,上下,1,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玶,U+73B6,6758,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1462,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
珇,U+73C7,6759,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1479,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
珅,U+73C5,6760,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1477,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬍛,U+2C35B,6761,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
珋,U+73CB,6762,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1483,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玹,U+73B9,6763,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1465,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
珌,U+73CC,6764,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1484,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玿,U+73BF,6765,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1471,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
韨,U+97E8,6766,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,488,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
垙,U+5799,6769,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,409,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
垍,U+578D,6772,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,397,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
耇,U+8007,6773,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左上包,5,present,True,519,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
鿍,U+9FCD,6774,missing_current_model_row,requires_index_allocation_and_source_row_insertion_plan,"8105 character is absent from the current 20,902-row runtime model; no current index/ext can be preserved.",,,左右,3,missing,False,,,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
垎,U+578E,6775,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,398,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
垟,U+579F,6777,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,415,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
垞,U+579E,6778,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,414,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
挓,U+6313,6779,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,1299,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
垵,U+57B5,6780,missing_approved_radical,requires_standard_radical_and_stroke_join,"Approved Agent structure exists, but radical/stroke evidence is blank and must be joined before CNBE32 bitfields can be recomputed.",,,左右,3,present,True,437,0,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
