char,unicode,standard_rank,status,block_reason,block_detail,approved_agent_structure,approved_agent_struct_type,implementation_queue,required_before_source_write,human_decision_id,source_table_write_status,database_rebuild_status
讻,U+8BBB,6550,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬣞,U+2C8DE,6551,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
孖,U+5B56,6552,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬘓,U+2C613,6553,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玒,U+7392,6555,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玘,U+7398,6557,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
玚,U+739A,6558,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
刬,U+522C,6559,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫭟,U+2BB5F,6560,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
坉,U+5749,6562,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
扽,U+627D,6563,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫭢,U+2BB62,6564,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
坋,U+574B,6565,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
扺,U+627A,6566,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
㧑,U+39D1,6567,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
毐,U+6BD0,6568,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
芣,U+82A3,6570,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
苉,U+82C9,6572,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
芠,U+82A0,6575,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫇭,U+2B1ED,6576,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
杕,U+6755,6578,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
杙,U+6759,6579,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
杄,U+6744,6580,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
杧,U+6767,6581,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
尪,U+5C2A,6583,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左下包,8,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
轪,U+8F6A,6585,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫐄,U+2B404,6586,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
芈,U+8288,6588,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,no conservative mapping rule in this phase,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
旴,U+65F4,6589,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
旵,U+65F5,6590,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
㕮,U+356E,6592,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫵷,U+2BD77,6594,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
岠,U+5CA0,6595,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
呇,U+5447,6597,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
觃,U+89C3,6599,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左下包,8,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
㑇,U+3447,6602,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
伭,U+4F2D,6603,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
佖,U+4F56,6604,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
佁,U+4F41,6606,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
飏,U+98CF,6607,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左下包,8,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
汫,U+6C6B,6611,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𣲘,U+23C98,6612,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𣲗,U+23C97,6613,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
沄,U+6C84,6614,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
沘,U+6C98,6615,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬇙,U+2C1D9,6616,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
汭,U+6C6D,6617,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
㳇,U+3CC7,6618,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
忳,U+5FF3,6621,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
忺,U+5FFA,6622,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𬣡,U+2C8E1,6623,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
祃,U+7943,6624,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
诇,U+8BC7,6625,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
邲,U+90B2,6626,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
诐,U+8BD0,6628,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𫸩,U+2BE29,6630,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
岊,U+5C8A,6631,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,上下,1,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阽,U+963D,6632,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
䢺,U+48BA,6633,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
阼,U+963C,6634,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,radical_resolution_blocked,"position-sensitive: left 阝 is 阜, right 阝 is 邑; source does not preserve side.",左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
妧,U+59A7,6635,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
妘,U+5998,6636,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_approved_radical,Approved packet has no radical for CNBE32 radix.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
𨚕,U+28695,6637,FORCE_APPROVED_BUT_NOT_COPIED_DATASET_PATCHED,missing_current_model_row,No current CNBE32 index/ext can be preserved.,左右,3,CNBE32_FORCE_APPROVED_BLOCKER_RESOLUTION_PLAN_CANDIDATE,fallback_radical_or_index_strategy,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
